Vendor,Phone numbers,Email,Full name,Billing address,Bill city,Bill state,Bill street,Bill zip,Billing rate,Bill country,Company,Phone,Modified on,Terms,Tax ID,Website
Sam's Club,,,Sam's  Club,United States,,,,,,United States,Sam's Club,,10/15/2025 17:21:51 a,,,
Scheetz Enterprises LLC,,,Sheetz,,,,,,0.00,,Scheetz Enterprises LLC,,11/17/2025 11:11:43 a,,,
Select Specialties Corp.,Phone:(513) 821-9100 ,,,7649 Production Dr Cincinnati OH 45237,Cincinnati,OH,7649 Production Dr,45237,0.00,,Select Specialties Corp.,(513) 821-9100,01/20/2026 08:05:40 a,Net 30,,
Sharonville Car Wash,,,Sharonville Car Wash,11727 Lebanon Rd    United States,,,11727 Lebanon Rd,,,United States,Sharonville Car Wash,,10/15/2025 17:21:51 a,,,
Shell Gas,,,Shell  Gas,United States,,,,,,United States,Shell Gas,,10/15/2025 17:21:52 a,,,
sherwin williams,,,sherwin  williams,United States,,,,,,United States,sherwin williams,,10/15/2025 17:21:52 a,,,
SK Enterprise,,,SK  Enterprise,,,,,,0.00,,SK Enterprise,,11/12/2025 06:51:36 a,,,
Smash My Trash,,Shannon.ernest@smashmytrash.com,Smash My Trash,9435 Waterstone Blvd Ste140-75 Cincinnati OH 45249 United States,Cincinnati,OH,9435 Waterstone Blvd Ste140-75,45249,,United States,Smash My Trash,,10/15/2025 17:21:52 a,,,
Solar Tint,,,Solar  Tint,5050 Montgomery Rd Cincinnati OH 45212 United States,Cincinnati,OH,5050 Montgomery Rd,45212,,United States,Solar Tint,,10/15/2025 17:21:52 a,,,
Sparks Hardware,,rhonda@sparkshardware.com,Chris  Mitchell,12661 Alexandria Pike Alexandria KY 41001 United States,Alexandria,KY,12661 Alexandria Pike,41001,,United States,Sparks Hardware,,01/22/2026 05:59:57 a,,,
Speedway Gas,,,Speedway  Gas,United States,,,,,,United States,Speedway Gas,,10/15/2025 17:21:52 a,,,
Square Space,,,Square  Space,United States,,,,,,United States,Square Space,,10/15/2025 17:21:52 a,,,
SRL Technology LLC,,,SRL Technology LLC,4849 Burdsall Rd Williamsburg OH 45176-9539 United States,Williamsburg,OH,4849 Burdsall Rd,45176-9539,,United States,SRL Technology LLC,,10/16/2025 08:31:21 a,,,
Staples,,,Staples,United States,,,,,,United States,Staples,,10/15/2025 17:21:52 a,,,
Subway,,,Subway,United States,,,,,,United States,Subway,,10/15/2025 17:21:52 a,,,
Sunbelt Rentals,,,Sunbelt  Rentals,United States,,,,,,United States,Sunbelt Rentals,,10/15/2025 17:21:53 a,,,
Sunoco Gas Station,,,Sunoco Gas Station,United States,,,,,,United States,Sunoco Gas Station,,10/15/2025 17:21:53 a,,,
Sure Mechanical  LLC,Phone:(513) 898-1050 ,,,3494 Beekman St Cincinnati OH 45223 United States,Cincinnati,OH,3494 Beekman St,45223,,United States,Sure Mechanical  LLC,(513) 898-1050,01/14/2026 15:36:58 a,Net 30,800674151,
Take 5 Oil Change,,,Take 5 Oil Change,United States,,,,,,United States,Take 5 Oil Change,,10/15/2025 17:21:53 a,,,
Target,,,Target,United States,,,,,,United States,Target,,10/15/2025 17:21:53 a,,,
TCB Home Services,Phone:(513) 760-2490 ,taclark2223@gmail.com,Thomas A Clark,5530 Roachester Osceola Rd Morrow OH 45152-9467 United States,Morrow,OH,5530 Roachester Osceola Rd,45152-9467,,United States,TCB Home Services,(513) 760-2490,01/28/2026 05:17:02 a,Net 30,992305499,
Team Fishel,Phone:(800) 347-4351 ,,,1366 Dublin Rd Columbus OH 43215 United States,Columbus,OH,1366 Dublin Rd,43215,,United States,Team Fishel,(800) 347-4351,01/14/2026 15:24:19 a,,314360115,
The Johnson Electric Supply Co,,,The Johnson Electric Supply Co,4564 Cornell Rd Cincinnati OH 45241 United States,Cincinnati,OH,4564 Cornell Rd,45241,,United States,The Johnson Electric Supply Co,,10/15/2025 17:21:53 a,,,
The Messenger Diocese of Covington,,,The Messenger Diocese of Covington,1125 Madison Ave Covington KY 41011-3115 United States,Covington,KY,1125 Madison Ave,41011-3115,,United States,The Messenger Diocese of Covington,,10/15/2025 17:21:53 a,,,
The UPS Store,,,The UPS Store,United States,,,,,,United States,The UPS Store,,10/15/2025 17:21:53 a,,,
The Wm. Lang & Sons Co.,Phone:(513) 541-3304 ,,,3284 Beekman St Cincinnati OH 45223,Cincinnati,OH,3284 Beekman St,45223,0.00,,The Wm. Lang & Sons Co.,(513) 541-3304,01/20/2026 11:03:54 a,,,
Thorton's Fuel,,,Thorton's  Fuel,United States,,,,,,United States,Thorton's Fuel,,10/15/2025 17:21:53 a,,,
Tire Discounter,,,,2065 Petersburg Rd Hebron KY 41048,Hebron,KY,2065 Petersburg Rd,41048,0.00,,Tire Discounter,,12/15/2025 08:09:25 a,,,
Tractor Supply,,,Tractor  Supply,United States,,,,,,United States,Tractor Supply,,10/15/2025 17:21:53 a,,,
Tri-State Wholesale Building Supply,,,Tri-State Wholesale Building Supply,651 Evans St Cincinnati OH 45204 United States,Cincinnati,OH,651 Evans St,45204,,United States,Tri-State Wholesale Building Supply,,10/15/2025 17:21:54 a,,,
Tru-Line Striping LLC,,anthony.stevers@gmail.com,Anthony G Stevers,4093 Sherbourne Dr Independence KY 41051 United States,Independence,KY,4093 Sherbourne Dr,41051,,United States,Tru-Line Striping LLC,,10/17/2025 10:15:50 a,,821567552,
UC West Chester Cafe,,,,1700 University Dr West Chester OH 45089,West Chester,OH,1700 University Dr,45089,0.00,,UC West Chester Cafe,,12/18/2025 07:13:14 a,,,
Uline Shipping,,,Uline  Shipping,United States,,,,,,United States,Uline Shipping,,10/15/2025 17:21:54 a,,,
United Building Materials,,,United Building Materials,1265 Gest St Cincinnati OH 45203 United States,Cincinnati,OH,1265 Gest St,45203,,United States,United Building Materials,,01/27/2026 06:38:32 a,,,
United Dairy Farmers,,,United Dairy Farmers,United States,,,,,,United States,United Dairy Farmers,,10/15/2025 17:21:54 a,,,
Urbs Garage,,,Urbs  Garage,5880 N Jefferson St Burlington KY 41005 United States,Burlington,KY,5880 N Jefferson St,41005,,United States,Urbs Garage,,10/15/2025 17:21:54 a,,,
US Bank,,,US  Bank,United States,,,,,,United States,US Bank,,10/15/2025 17:21:54 a,,,
USI Inc,Phone:(513) 954-4561 ,,,9585 Cilley Rd Cleves OH 45002 United States,Cleves,OH,9585 Cilley Rd,45002,,United States,USI Inc,(513) 954-4561,01/16/2026 06:03:29 a,,200615516,
USPS,,,USPS,United States,,,,,,United States,USPS,,10/15/2025 17:21:54 a,,,
Valvoline,,,Valvoline,United States,,,,,,United States,Valvoline,,10/15/2025 17:21:54 a,,,
Vennefron Signs & Custom Apparel,,,Vennefron Signs & Custom Apparel,2106 Monmouth St Newport KY 41071 United States,Newport,KY,2106 Monmouth St,41071,,United States,Vennefron Signs & Custom Apparel,,01/27/2026 06:44:02 a,,,
Verizon Business,,,Verizon  Business,P.O. Box 489 Newark NJ 07101-0489 United States,Newark,NJ,P.O. Box 489,07101-0489,,United States,Verizon Business,,10/15/2025 17:21:55 a,,,
Victor Moreno,,,Victor  Moreno,6309 Greenbriar Dr Fairfield OH 45014 United States,Fairfield,OH,6309 Greenbriar Dr,45014,,United States,Victor Moreno,,10/15/2025 17:21:55 a,,,
Vista Print,,,Vista  Print,United States,,,,,,United States,Vista Print,,10/15/2025 17:21:55 a,,,
Walgreens,,,Walgreens,United States,,,,,,United States,Walgreens,,10/15/2025 17:21:55 a,,,
Walmart,,,Walmart,United States,,,,,,United States,Walmart,,10/15/2025 17:21:55 a,,,
Walton Tire & Service,,,Walton Tire & Service,United States,,,,,,United States,Walton Tire & Service,,10/15/2025 17:21:55 a,,,
wawa,,,wawa,United States,,,,,,United States,wawa,,10/15/2025 17:21:55 a,,,
Westfield Insurance,,,Westfield  Insurance,,,,,,0.00,,Westfield Insurance,,01/19/2026 06:58:09 a,,,
Whitewater Car Wash W West,,,Whitewater Car Wash W West,United States,,,,,,United States,Whitewater Car Wash W West,,10/15/2025 17:21:55 a,,,
Williams Hardware,,,Willi,795 Scioto St Urbana OH 43078,Urbana,OH,795 Scioto St,43078,0.00,,Williams Hardware,,12/18/2025 08:08:56 a,,,
Win Supply,,,Win  Supply,United States,,,,,,United States,Win Supply,,10/15/2025 17:21:55 a,,,
Wiseway,,,Wiseway,8301 Dixie Highway Florence KY 41042 United States,Highway Florence,KY,8301 Dixie,41042,,United States,Wiseway,,10/15/2025 17:21:56 a,,,
Ziegler Tire,,,Ziegler  Tire,United States,,,,,,United States,Ziegler Tire,,10/15/2025 17:21:56 a,,,
